em_KEGG_ko,kegg_pathway_id,Overview_category,pathway_name
K09754,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K09755,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K09756,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K09757,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K10775,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K11188,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K12355,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K12356,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K13064,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K13065,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K13066,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K13067,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K13068,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K13727,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K15506,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K17054,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K17055,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K17056,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K17057,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K17058,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K17059,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K18368,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K20039,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K22395,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K23662,ko00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
K00475,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K00487,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K00588,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K00660,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K01859,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K05277,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K05278,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K05280,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K08243,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K08695,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K09754,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K13065,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K13077,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K13078,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K13079,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K13080,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K13081,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K13082,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K13083,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K21372,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K21581,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K21582,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K22440,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
